,country,count
2,Argentina,180
6,Austria,180
9,Bahrain,180
12,Belgium,180
13,Belize,180
15,Brazil,180
16,Bulgaria,180
19,Chile,180
20,Colombia,180
21,Costa Rica,180
22,Croatia,180
23,Cuba,180
25,Czech Republic,180
26,Denmark,180
27,Ecuador,180
28,El Salvador,180
29,Estonia,180
31,Finland,180
32,France,180
34,Germany,180
35,Greece,180
37,Guatemala,180
39,Hungary,180
40,Iceland,180
41,Ireland,180
42,Israel,180
43,Italy,180
45,Japan,180
46,Kazakhstan,180
48,Kuwait,180
49,Kyrgyzstan,180
50,Latvia,180
51,Lithuania,180
52,Luxembourg,180
54,Malta,180
55,Mauritius,180
56,Mexico,180
58,Netherlands,180
61,Norway,180
63,Panama,180
64,Paraguay,180
66,Poland,180
68,Puerto Rico,180
70,Republic of Korea,180
71,Romania,180
72,Russian Federation,180
74,Saint Vincent and Grenadines,180
76,Serbia,180
78,Singapore,180
80,Slovenia,180
81,South Africa,180
82,Spain,180
84,Suriname,180
85,Sweden,180
86,Switzerland,180
90,Turkmenistan,180
93,United Kingdom,180
94,United States,180
